Pid	Burst	Arrval	Prioriyy	AgeIndx
1	1	1179	22		8	
2	66	4099	77		25	
3	13	3908	2		13	
4	16	6118	29		11	
5	30	6270	65		10	
6	11	3023	36		21	
7	44	6198	56		10	
8	-8	7807	7		25	
9	5	-1	41		29	
10	33	3371	32		23	
11	83	2941	93		12	
12	13	5549	14		18	
13	78	3167	6		8	
14	61	3814	24		4	
15	38	8513	70		13	
16	89	691	41		29	
17	51	2854	98		10	
18	11	6703	45		27	
19	24	7206	10		13	
20	35	6122	12		15	
21	44	871	73		2	
22	98	3996	31		4	
23	86	756	44		19	
24	94	618	74		25	
25	46	7043	94		6	
26	47	2359	6		16	
27	72	8173	12		3	
28	84	3785	98		5	
29	55	3697	84		19	
30	74	5357	72		2	
31	90	7247	27		1	
32	80	4333	37		18	
33	17	6746	32		11	
34	8	8192	17		5	
35	52	969	33		8	
36	61	9689	71		27	
37	11	9895	20		7	
38	63	9874	48		19	
39	77	6293	10		1	
40	57	3258	56		20	
41	98	4023	44		20	
42	71	6917	15		30	
43	19	6406	82		11	
44	45	4078	13		4	
45	12	1843	12		11	
46	13	3891	82		27	
47	79	1949	87		7	
48	78	9881	48		24	
49	88	2842	94		6	
50	48	8782	78		25	
51	19	2920	49		11	
52	93	8672	23		23	
53	34	9063	47		6	
54	38	1895	98		28	
55	29	5292	89		24	
56	73	5927	84		10	
57	82	6080	60		11	
58	54	2623	95		19	
59	87	98	68		7	
60	68	5020	5		3	
61	74	8318	47		19	
62	93	6709	41		24	
63	32	1690	80		3	
64	76	1801	24		14	
65	64	4937	88		9	
66	83	1203	35		6	
67	22	8750	13		5	
68	1	6939	28		12	
69	53	9465	39		26	
70	79	827	63		4	
71	53	9652	68		1	
72	5	890	65		30	
73	77	4445	19		9	
74	100	6421	8		21	
75	77	4625	6		5	
76	98	2475	62		1	
77	63	7148	38		22	
78	43	9335	91		26	
79	77	5957	94		23	
80	87	3505	32		27	
81	31	8023	85		8	
82	35	7450	96		28	
83	14	115	90		17	
84	79	8678	64		2	
85	82	3710	29		28	
86	99	9558	1		24	
87	13	3825	87		19	
88	36	3023	68		6	
89	79	6252	88		3	
90	84	7512	80		15	
91	43	3055	54		19	
92	81	4427	68		18	
93	66	1649	83		1	
94	83	8536	3		25	
95	39	9778	2		6	
96	94	4116	58		4	
97	44	9415	5		13	
98	52	4649	66		30	
99	53	5323	19		12	
100	96	5448	42		17	
101	26	3439	69		4	
102	1	3329	50		3	
103	67	7186	24		1	
104	73	5934	85		26	
105	22	9285	21		2	
106	85	5812	71		18	
107	63	5833	78		2	
108	14	9026	79		18	
109	55	6489	14		1	
110	67	4024	22		14	
111	95	2733	54		2	
112	71	8982	99		21	
113	30	6174	72		11	
114	2	3903	72		3	
115	95	4124	6		10	
116	100	8828	16		12	
117	75	4939	47		25	
118	39	711	93		1	
119	1	253	27		22	
120	88	4481	39		2	
121	94	3986	72		29	
122	89	1186	63		20	
123	24	2486	29		28	
124	39	7421	40		8	
125	84	3310	71		23	
126	58	6630	93		11	
127	53	5324	89		1	
128	99	1454	89		28	
129	98	8828	12		15	
130	62	8366	41		20	
131	11	4258	93		18	
132	39	2116	0		28	
133	29	6099	48		8	
134	90	8084	19		16	
135	49	7630	71		16	
136	25	1589	98		4	
137	61	2591	73		24	
138	21	8031	50		27	
139	49	1684	60		9	
140	7	6724	95		29	
141	70	8645	47		6	
142	14	8948	14		26	
143	38	7022	33		22	
144	6	2364	80		19	
145	30	9667	95		21	
146	61	6535	91		7	
147	84	7267	28		22	
148	92	4025	42		16	
149	6	1424	45		7	
150	44	5097	35		23	
151	69	4628	37		7	
152	60	7392	37		26	
153	96	2878	38		27	
154	3	26	30		27	
155	10	8056	95		11	
156	77	4128	66		5	
157	53	6802	45		15	
158	27	5610	98		5	
159	17	2176	84		28	
160	75	1337	28		21	
161	22	4455	18		3	
162	91	4036	29		26	
163	15	174	66		24	
164	48	7574	95		8	
165	12	7169	25		12	
166	43	1927	2		22	
167	86	8504	17		27	
168	45	2055	91		9	
169	32	5001	29		19	
170	90	5813	75		14	
171	68	9113	14		13	
172	26	1226	70		20	
173	57	2920	22		12	
174	8	7445	84		5	
175	22	7669	0		30	
176	33	2434	22		21	
177	43	4560	3		29	
178	38	1204	58		27	
179	3	7850	20		10	
180	82	5872	74		13	
181	90	5938	26		20	
182	89	9964	36		9	
183	68	7206	5		12	
184	70	9786	98		12	
185	68	5185	58		11	
186	10	8448	10		18	
187	65	9836	59		5	
188	72	3582	12		14	
189	89	8705	65		22	
190	12	2605	49		27	
191	13	1980	32		19	
192	63	8767	8		2	
193	20	6091	36		17	
194	87	6343	33		7	
195	27	1399	58		25	
196	55	5813	51		28	
197	30	3467	92		25	
198	71	9436	25		26	
199	38	580	16		15	
200	1	9671	73		17	
201	68	1173	55		18	
202	10	1204	43		29	
203	61	7552	84		8	
204	98	7096	51		1	
205	2	7117	26		19	
206	77	4559	0		4	
207	16	773	47		21	
208	63	9937	6		24	
209	16	4125	56		6	
210	49	234	59		2	
211	70	2423	47		25	
212	18	1735	14		9	
213	48	8107	57		25	
214	100	3736	64		7	
215	87	7852	99		21	
216	89	891	90		24	
217	13	6046	64		6	
218	83	9738	97		14	
219	9	2668	19		15	
220	23	5435	6		1	
221	19	9142	79		20	
222	65	9984	59		4	
223	2	7707	20		19	
224	30	4252	78		20	
225	16	5954	76		2	
226	14	803	44		5	
227	14	2612	82		4	
228	95	7817	68		1	
229	45	5473	64		16	
230	8	2992	86		23	
231	62	9264	77		3	
232	18	7512	91		30	
233	63	7268	93		9	
